ID_COLETADO,X_LOCAL_m,Y_LOCAL_m,Z_PE3D_m,X_GLOBAL_ESTIMADO_m,Y_GLOBAL_ESTIMADO_m,ID_FORNECIDO_MATCH,RESIDUO_XY_m,Z_FORNECIDA_m,DIFERENCA_Z_m
152,268.8323,289.2964,157.6350,250855.8656,9133819.3822,2,0.000632,157.6350,0.0000
153,279.8218,306.0066,157.4000,250866.8551,9133836.0924,3,0.000412,157.4000,0.0000
154,290.8113,322.7168,157.1560,250877.8446,9133852.8026,4,0.000721,157.1560,0.0000
155,298.0182,340.9970,156.9200,250885.0515,9133871.0828,5,0.000539,156.9200,0.0000
156,302.0920,360.5777,156.6467,250889.1253,9133890.6635,6,0.000583,156.6470,-0.0003
157,306.1658,380.1585,156.2450,250893.1991,9133910.2443,7,0.000316,156.2450,0.0000
158,309.1479,399.9160,155.9567,250896.1812,9133930.0018,8,0.000283,155.9570,-0.0003
159,311.4650,419.7814,155.4250,250898.4983,9133949.8672,9,0.000361,155.4250,0.0000
160,313.7820,439.6467,154.8300,250900.8153,9133969.7325,10,0.000583,154.8300,0.0000
161,389.6167,1478.9537,127.2900,250976.6500,9135009.0395,65,0.000500,127.2900,0.0000
162,350.0937,1548.4993,126.4440,250937.1270,9135078.5851,69,0.000100,126.4440,0.0000
163,339.8476,1565.6754,126.4000,250926.8809,9135095.7612,70,0.000224,126.4000,0.0000
164,379.9088,1496.4396,126.9800,250966.9421,9135026.5254,66,0.000412,126.9800,0.0000
165,370.2009,1513.9255,126.6700,250957.2342,9135044.0113,67,0.000361,126.6700,0.0000
166,360.3398,1531.3233,126.5825,250947.3731,9135061.4091,68,0.000141,126.5830,-0.0005
