148,318.0139,479.4217,153.6050
149,320.0801,499.3147,152.9300
150,322.3045,519.1903,152.3700
151,257.8427,272.5862,157.6500
152,268.8323,289.2964,157.6350
153,279.8218,306.0066,157.4000
154,290.8113,322.7168,157.1560
155,298.0182,340.9970,156.9200
156,302.0920,360.5777,156.6467
157,306.1658,380.1585,156.2450
158,309.1479,399.9160,155.9567
159,311.4650,419.7814,155.4250
160,313.7820,439.6467,154.8300
161,389.6167,1478.9537,127.2900
162,350.0937,1548.4993,126.4440
163,339.8476,1565.6754,126.4000
164,379.9088,1496.4396,126.9800
165,370.2009,1513.9255,126.6700
166,360.3398,1531.3233,126.5825
