ID_COLETADO,ID_FORNECIDO,Cota_fornecida_m,Cota_coletada_PE3D_m,Diferenca_PE3D_m,Residuo_XY_m,Observacao
154,4,157.1560,157.1560,0.0000,0.000721,Pareamento inicial por translação; confirmar no QGIS.
155,5,156.9200,156.9200,0.0000,0.000539,Pareamento inicial por translação; confirmar no QGIS.
156,6,156.6470,156.6467,-0.0003,0.000583,Pareamento inicial por translação; confirmar no QGIS.
157,7,156.2450,156.2450,0.0000,0.000316,Pareamento inicial por translação; confirmar no QGIS.
158,8,155.9570,155.9567,-0.0003,0.000283,Pareamento inicial por translação; confirmar no QGIS.
159,9,155.4250,155.4250,0.0000,0.000361,Pareamento inicial por translação; confirmar no QGIS.
160,10,154.8300,154.8300,0.0000,0.000583,Pareamento inicial por translação; confirmar no QGIS.
161,65,127.2900,127.2900,0.0000,0.000500,Pareamento inicial por translação; confirmar no QGIS.
162,69,126.4440,126.4440,0.0000,0.000100,Pareamento inicial por translação; confirmar no QGIS.
163,70,126.4000,126.4000,0.0000,0.000224,Pareamento inicial por translação; confirmar no QGIS.
164,66,126.9800,126.9800,0.0000,0.000412,Pareamento inicial por translação; confirmar no QGIS.
165,67,126.6700,126.6700,0.0000,0.000361,Pareamento inicial por translação; confirmar no QGIS.
166,68,126.5830,126.5825,-0.0005,0.000141,Pareamento inicial por translação; confirmar no QGIS.
